1481 [main] INFO  com.mock.server.Application - Starting Application on sparrow with PID 1602 (/home/shubham/IdeaProjects/Mock Server/target/classes started by shubham in /home/shubham/IdeaProjects/Mock Server) 
1483 [main] INFO  com.mock.server.Application - No active profile set, falling back to default profiles: default 
2430 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http) 
2437 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
2437 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
2437 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35] 
2528 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
2528 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1005 ms 
2532 [main] INFO  com.mock.server.ServiceFactory - LOADING OLD DATA... 
2532 [main] INFO  com.mock.server.ServiceFactory - LOADED 0 OPERATIONS SUCCESSFULLY! 
2534 [main] INFO  com.mock.server.ServiceFactory - TOTAL TIME TAKEN: 0 ms 
2705 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2885 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
2909 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '' 
2921 [main] INFO  com.mock.server.Application - Started Application in 2.037 seconds (JVM running for 4.593) 
3007 [main] INFO  com.mock.server.ServiceFactory - Key generated for team: Test1 = efd1105dacdfa5c0 
3324 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 970581779 497108493 1191645855 219910317 1066220789 
3326 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 615764161 487426756 850487462 89474065 981373450 
3329 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 604052244 414040295 216120563 745356773 645658789 
3331 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 746495607 678282295 864994778 1146466398 234980580 
3334 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 30612178 80146676 1130610408 555089198 504080212 
3337 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1001083909 1110631438 599576200 811793720 695955378 
3339 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 26508514 690398823 116865173 1210000505 35544558 
3342 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 520212861 685716177 406129244 449606477 199231386 
3344 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 982204300 178311952 937087651 1125995260 14439336 
3347 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 987015939 505134460 376600822 1176329505 156272136 
3350 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 89611311 856278184 627733076 44444056 119029367 
3352 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 329879231 728793123 1219273919 1108097524 521719608 
3355 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 433811153 1162414584 571805387 186663937 116026838 
3358 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 474176324 602068586 61003239 704920261 836457110 
3361 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 869613063 365423838 1117680648 151332241 69013033 
3363 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 647369958 156974376 320923488 1135461295 881462027 
3366 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1188031311 957326158 1201976224 459124556 450727112 
3369 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 162595439 37151608 961972615 912680054 1199939641 
3371 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 347739795 259790559 189305091 567789835 57737932 
3374 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 996849074 572926595 626124204 10569451 845653657 
3376 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1139300605 1162747955 303565285 610890587 1150213064 
3379 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 514573067 952009991 1000320914 1129276935 660549515 
3381 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 346282328 574231565 790822727 690746968 572175702 
3384 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1220803335 42286985 196002186 25034814 518357883 
3386 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 397486429 1138614353 1007882491 123271615 351344163 
3389 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 50507084 1204317419 1055789772 227407319 882987288 
3392 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 299940193 869380203 627780951 669970514 680520422 
3394 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1232571252 345075321 901443345 301904864 141562778 
3403 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 518220233 1003811222 136767275 268873044 247140899 
3406 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1190368064 819863945 1119924553 822846519 352222640 
3408 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 926302734 47780575 947415253 731937515 1045255911 
3411 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 800167495 635449444 363005883 108628695 402544700 
3414 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 675273632 845244140 398723998 1129241024 1200719819 
3416 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 448984793 725540607 490929366 15698678 225467800 
3419 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 303496989 844027944 1163009531 791292438 595945123 
3421 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1214698439 358573350 178264332 486846273 778067886 
3424 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1102478498 361591505 1220241989 1108996704 1208400924 
3427 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1077925525 902641860 791556364 945723111 390611032 
3429 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 727802640 13228844 866431109 1089532569 455552989 
3432 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 38433682 1185536013 20846567 857789373 1209767459 
3434 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 873852874 441977191 380899186 133367501 665057809 
3437 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 880086753 346408206 1181947767 972334688 895499302 
3440 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 68182064 896971211 611945696 854979977 1002195297 
3443 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 392839919 489955865 862610 532140559 925275365 
3446 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 931111474 685009933 1181938547 443885304 37140535 
3449 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 359050408 376554441 1181679345 1214727126 197675450 
3451 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 812585960 814578581 1005054483 769978552 789191812 
3454 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 443425647 1163774747 96923610 489621794 421191552 
3456 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1177525230 289427078 366235205 510489377 372407712 
3459 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 624508700 1016071440 1082534643 849576770 961529727 
3462 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 849466573 580220749 452824005 1065988743 18886240 
3465 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 483905086 768846559 428371883 271836611 683150194 
3467 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1100683694 472365518 75464392 997017044 1211524529 
3470 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1117413569 68254388 997588110 374981745 347641859 
3472 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 255491727 36791880 1150159766 1096769090 530724813 
3475 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 443719047 346952004 1230317518 214853143 1044767714 
3479 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 357420819 375784643 1214217792 933933637 487524729 
3482 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 279765587 80536029 18569249 1089548792 1080779104 
3484 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 564481960 706420411 190296007 853154396 4987822 
3487 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 497127030 101673888 755183977 1078300098 826083698 
3489 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1114523315 287313511 879909735 399097277 871537664 
3492 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1128031974 615018348 781070189 1070132798 269996123 
3494 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 127757126 352017925 637621724 1225648588 373886178 
3497 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1148975560 124720368 471338657 833909285 14355378 
3499 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 716691521 953073808 329605845 901920496 947064333 
3502 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1105846841 414790161 207117460 1067005411 322226482 
3505 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 483051876 1092901496 466256934 210608734 809630132 
3507 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 694481838 609024435 532988926 456486625 710884003 
3510 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 47346522 775242368 642322374 393678080 242833370 
3512 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1219961076 761419200 238761660 321458065 1058132741 
3515 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1142509265 724009077 1156266476 85424003 742456582 
3520 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1067569787 115188008 109955052 1166419391 352357333 
3523 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 919706345 301625798 412013835 858408302 846716511 
3525 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 105652301 80498882 3133619 1143461014 1208998813 
3528 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 241798716 1141005907 808138419 528211933 719355563 
3530 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 546078057 50351776 171541557 469167185 951603695 
3533 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1152810374 1016616055 168690365 841976281 43410113 
3535 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 626503316 163935028 666854911 763034073 1188472814 
3538 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 666889249 120798169 1067431704 557767976 1048621390 
3540 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 496388323 1026087136 259670341 405936783 648385699 
3543 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1043218113 1107356792 429503071 605061277 40767045 
3545 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 521671850 458630486 903085092 352602498 1014553111 
3548 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1196081114 856553053 603485132 833523933 885723865 
3550 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1210707911 1174236070 402331820 505217204 465910955 
3553 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 832976788 795098742 1009291600 743979343 193467721 
3555 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 347156545 175205657 59038953 228760374 1160559217 
3558 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 237944991 1028582054 968997920 149883926 652043656 
3560 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 681704602 1027682933 116735307 94673389 492136792 
3563 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 561936118 955380426 835778540 274550612 11829074 
3565 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 906004640 941617262 33508220 1216120018 1128317667 
3568 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 890466776 710920625 51305563 422629980 1180136823 
3570 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 474141634 1027023208 961465243 1110608836 1086721555 
3573 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 827917316 1100471752 1173188880 414275204 106837288 
3575 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 690169430 925650498 1100034291 1043563656 280088529 
3578 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 148600335 521460457 36621516 286103563 87766940 
3580 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 971386070 820067939 1231437026 268900438 68893296 
3583 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 418541909 839107868 302491799 457738298 721624971 
3586 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1013070935 277529413 949027347 437470899 786962358 
3588 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 270164740 730345003 796543987 950121254 575592749 
3591 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 564152509 1107106246 688272907 717458982 922642226 
